HuMAP2_ID,Confidence,Uniprot_ACCs,genenames
HuMAP2_00072,5,Q96ER9 Q9HCL0 Q8N6Y1 O95867 Q15517,CCDC51 PCDH18 PCDH20 LY6G6C CDSN
HuMAP2_00073,4,Q4G0F5 O60749 Q96QK1 Q96NW4 Q13596 Q9UNH7 O75436 Q92609 Q86XE0 Q9Y5X3,VPS26B SNX2 VPS35 ANKRD27 SNX1 SNX6 VPS26A TBC1D5 SNX32 SNX5
HuMAP2_00074,4,Q8N6M8 Q93084 Q13017,IQCF1 ATP2A3 ARHGAP5
HuMAP2_00075,1,Q9Y3C6 Q13573,PPIL1 SNW1
HuMAP2_00076,4,Q8NEF3 Q8N6V9 O94818,CCDC112 TEX9 NOL4
HuMAP2_00077,5,O43597 Q9BRK0 O15162 Q9H902,SPRY2 REEP2 PLSCR1 REEP1
HuMAP2_00078,3,Q3SY56 Q96DM3 Q86VX9,SP6 RMC1 MON1A
HuMAP2_00079,4,O75828 P62253 Q9H8Y8 Q9H2G9,CBR3 UBE2G1 GORASP2 BLZF1
HuMAP2_00080,3,Q9BS26 Q14153 Q8IX07,ERP44 FAM53B ZFPM1
HuMAP2_00081,3,A0AVF1 Q96LB3 Q9BW83 Q86WT1 Q8N4P2 Q9NQC8 Q8WYA0 Q9Y366,TTC26 IFT74 IFT27 TTC30A TTC30B IFT46 IFT81 IFT52
HuMAP2_00082,3,Q53TN4 Q9Y232,CYBRD1 CDYL
HuMAP2_00083,4,Q96E14 Q13472 Q9H9A7 A6NI79,RMI2 TOP3A RMI1 CCDC69
HuMAP2_00084,1,P13861 P17612,PRKAR2A PRKACA
HuMAP2_00085,5,Q14584 Q8WYA6 Q53GI3,ZNF266 CTNNBL1 ZNF394
HuMAP2_00086,3,Q17R89 Q5T0N5,ARHGAP44 FNBP1L
HuMAP2_00087,2,Q00887 Q8NEM2,PSG9 SHCBP1
HuMAP2_00088,4,Q9Y6U3 Q13045 Q32MZ4 P28289 Q9H3H9 O95425 Q9NYL9,SCIN FLII LRRFIP1 TMOD1 TCEAL2 SVIL TMOD3
HuMAP2_00089,5,Q14676 Q16777 O94776 Q13162 Q5THJ4,MDC1 HIST2H2AC MTA2 PRDX4 VPS13D
HuMAP2_00090,4,Q96RS6 Q8WUQ7 Q86YS6 Q9H5V9 Q14562 O95391,NUDCD1 CACTIN RAB43 CXorf56 DHX8 SLU7
HuMAP2_00091,3,Q9NX14 O95139 P17568,NDUFB11 NDUFB6 NDUFB7
HuMAP2_00092,5,Q9H5L6 O15530 Q9NWC5 Q14681 Q9UBT6 P43003 Q8IY37 Q9NXV2 Q00059 Q96GI7 Q5VT25 Q8N5Z5,THAP9 PDPK1 TMEM45A KCTD2 POLK SLC1A3 DHX37 KCTD5 TFAM FAM89A CDC42BPA KCTD17
HuMAP2_00093,4,P14060 P26439 Q9H6F2 P42898 P19086,HSD3B1 HSD3B2 TMEM38A MTHFR GNAZ
HuMAP2_00094,2,Q96NL0 Q59EK9,RUNDC3B RUNDC3A
HuMAP2_00095,5,Q93009 Q9H568 O15014 P14373 Q9UQR0,USP7 ACTL8 ZNF609 TRIM27 SCML2
HuMAP2_00096,3,P12270 Q92499 Q8WXF1 Q9Y3I0 P52272,TPR DDX1 PSPC1 RTCB HNRNPM
HuMAP2_00097,5,P08123 P02461 P02452 Q7Z624 O75616 O43615,COL1A2 COL3A1 COL1A1 CAMKMT ERAL1 TIMM44
HuMAP2_00098,2,P06132 Q9BQG2 Q13867,UROD NUDT12 BLMH
HuMAP2_00099,2,Q00613 Q03933,HSF1 HSF2
HuMAP2_00100,3,Q6P5W5 Q8NBJ4,SLC39A4 GOLM1
