ID,cut_1193.94,cut_1145.7,cut_1085.4,cut_1025.1,cut_964.8,cut_904.5,cut_844.2,cut_783.9,cut_723.6,cut_663.3,cut_603,cut_542.7,cut_482.4,cut_422.1,cut_361.8,cut_301.5,cut_241.2,cut_180.9,cut_120.6,dendrogram_order
ENOG411DQUH,1,1,20,31,66,72,77,81,87,93,104,108,114,132,140,156,173,207,236,341.0
ENOG411DW60,1,1,20,31,66,72,77,81,373,418,465,514,557,613,665,718,775,830,887,342.0
ENOG411DSCT,1,1,79,118,141,149,168,184,207,231,257,282,304,339,371,411,452,501,549,343.0
ENOG411DTK4,1,1,79,118,141,149,168,184,401,456,511,566,623,683,739,798,856,917,977,344.0
ENOG411DRR5,1,1,26,40,44,49,53,57,60,62,68,71,75,89,95,107,122,149,174,345.0
ENOG411E2DK,1,1,26,40,44,49,53,57,60,415,459,506,549,605,656,708,764,819,876,346.0
ENOG411DPZ8,1,1,60,96,115,122,133,144,161,174,194,208,223,254,278,309,343,388,432,347.0
ENOG411DZHJ,1,1,60,96,115,122,133,366,423,480,536,594,652,712,771,831,891,952,1012,348.0
ENOG411E0MK,1,1,106,159,193,216,245,414,474,534,594,654,714,774,835,895,955,1016,1076,349.0
ENOG411DSQC,1,1,106,159,193,216,245,269,303,338,374,409,447,491,532,580,630,685,741,350.0
ENOG411DYS7,1,1,106,159,193,216,245,413,473,533,593,653,713,773,834,894,954,1015,1075,351.0
ENOG411DW4I,1,1,11,18,20,22,24,27,27,29,32,34,34,39,42,49,58,78,94,352.0
ENOG411DTEX,1,1,11,18,20,22,24,27,27,29,57,60,63,105,112,126,141,173,200,353.0
ENOG411DWT1,1,1,11,18,20,22,24,27,27,29,57,60,63,74,78,86,100,124,148,354.0
ENOG411DXHQ,1,1,11,18,20,22,24,27,27,29,57,60,63,598,649,701,756,811,868,355.0
ENOG411DS61,1,1,11,19,21,23,143,154,172,192,218,236,252,285,314,348,387,433,478,356.0
ENOG411DYGY,1,1,11,19,21,23,25,28,28,30,33,204,219,250,274,302,335,378,422,357.0
ENOG411DZ83,1,1,11,19,21,23,25,28,28,30,33,35,592,652,708,765,823,880,937,358.0
ENOG411DU1C,1,1,11,19,21,23,25,28,28,30,33,35,35,56,59,66,77,98,118,359.0
ENOG411DSK2,1,1,11,19,21,23,25,28,28,30,33,35,35,40,43,50,59,79,95,360.0
ENOG411DTEY,1,1,11,19,21,23,25,28,28,30,33,35,35,40,43,50,251,290,326,361.0
ENOG411E587,1,1,18,28,31,280,330,378,436,494,552,610,669,729,789,849,909,970,1030,362.0
ENOG411DTWY,1,1,18,28,31,36,39,43,43,45,49,52,54,62,65,72,84,105,126,363.0
ENOG411DSAC,1,1,18,28,31,36,39,43,43,45,89,265,285,320,351,390,430,479,526,364.0
ENOG411DQRX,1,1,18,28,31,36,39,43,43,45,89,93,98,115,122,136,151,183,212,365.0
ENOG411DZBW,1,1,18,28,31,36,39,43,43,45,89,93,543,595,646,698,753,808,865,366.0
ENOG411DTAV,1,1,27,43,47,52,56,60,63,66,72,75,79,93,99,111,126,155,181,367.0
ENOG411DTHN,1,1,27,43,47,52,56,60,290,324,358,389,425,469,508,555,604,659,715,368.0
ENOG411DRMQ,1,1,27,55,62,68,123,133,149,160,179,191,206,236,258,284,316,359,400,369.0
ENOG411DR19,1,1,27,55,62,68,73,77,83,89,100,104,110,127,135,151,168,202,231,370.0
ENOG411DXIW,1,1,27,55,62,68,73,77,83,89,100,556,609,669,725,784,842,902,959,371.0
ENOG411DUMW,1,1,27,55,62,68,73,77,83,89,100,245,263,297,326,362,401,449,494,372.0
ENOG411DTRJ,1,1,27,55,62,68,73,77,83,89,100,272,292,327,359,398,438,487,534,373.0
ENOG411DWUB,1,1,48,79,93,100,106,115,127,136,151,161,176,205,223,245,274,313,352,374.0
ENOG411DR30,1,1,48,79,93,100,106,162,180,201,227,247,265,299,328,364,403,451,496,375.0
ENOG411DZEM,1,1,3,152,184,202,327,375,433,491,549,607,666,726,786,846,906,967,1027,376.0
ENOG411DTHG,1,1,3,152,184,202,228,249,280,313,345,376,412,456,494,541,589,644,700,377.0
ENOG411DTYZ,1,1,3,152,184,202,228,249,280,313,555,613,673,733,793,853,913,974,1034,378.0
ENOG411DSDQ,1,1,3,47,91,98,104,113,124,132,146,154,169,196,214,236,264,303,342,379.0
ENOG411DQF6,1,1,3,47,104,111,118,128,144,154,170,182,197,226,247,272,303,344,384,380.0
ENOG411DVP6,1,1,3,47,230,271,314,358,414,471,527,582,640,700,759,819,878,939,999,381.0
ENOG411DWDK,1,1,3,47,52,277,324,371,428,486,543,601,660,720,779,839,899,960,1020,382.0
ENOG411DVDX,1,1,3,47,52,58,213,232,262,294,325,355,389,432,469,514,562,616,669,383.0
ENOG411DWJR,1,1,3,47,52,58,213,232,262,481,537,595,653,713,772,832,892,953,1013,384.0
ENOG411DTGU,1,1,3,47,52,58,63,67,72,75,82,85,89,104,111,124,139,170,197,385.0
ENOG411DQSW,1,1,3,47,52,58,63,67,72,131,145,153,168,195,213,235,262,301,340,386.0
