ACLY	COPS3	0.978253
AP2A1	AP2A2	0.978129
TCP1	CCT2	0.977928
HLA-E	LMAN1	0.977598
PSMA5	PSMA7	0.977533
ALOX12B	GGCT	0.977124
GNB1	SLC25A3	0.977025
TNFRSF4	SPN	0.976889
PSMC2	PSMD3	0.976371
CWF19L1	CHMP4B	0.976244
CCT7	CCT4	0.9761
RPL28	RPL19	0.975645
PSMD6	PSMC2	0.97551
BIN2	HMHA1	0.975439
SPCS3	SSR4	0.974745
NFKB1	TCP1	0.97474
KARS	AIMP2	0.974507
CISD1	FAM162A	0.974303
DLAT	TPR	0.974183
NDUFA4	GNB1	0.973602
FLII	PSMD12	0.972622
PSMD8	PSMD11	0.972571
NFKB1	RELA	0.972566
NOP58	GTPBP4	0.972015
OTUB1	SRM	0.971833
PSMB5	PSMA4	0.971644
IPO7	TRAF1	0.971592
CAND1	CSDE1	0.97134
GCDH	TAGLN2	0.97126
NDUFS2	NDUFA9	0.971208
EXOSC8	EXOSC6	0.971204
EIF2B3	DRG1	0.970839
KIF5B	COPB2	0.970542
NDUFA4	ATP2A3	0.970519
ANXA5	PRDX6	0.97047
TLN1	PFKL	0.970267
RPL8	RPL34	0.970179
CRNN	SPRR3	0.969897
ARPC1B	ACTR3	0.9698
RPS26	RPS23	0.969722
PSMA1	PSMB8	0.969486
ETHE1	APRT	0.969444
PTBP3	MTHFD2	0.969356
IGHA2	IGHA1	0.969199
PSMA5	PSMB4	0.968766
PSMA6	PSMA1	0.968724
C7orf50	PAK1IP1	0.968718
PSMD14	PSMC1	0.968675
AGL	ANP32B	0.968477
HAT1	ATXN10	0.967739
FLII	PSMD13	0.967517
CCT4	CCT3	0.967165
RPS25	RPS17	0.966892
CCT6A	TCP1	0.965881
HADHA	HADHB	0.965817
DDX5	SYNCRIP	0.965645
DEK	SSRP1	0.96506
PSMA1	PSMB9	0.964847
MTAP	LTA4H	0.964803
AP1M1	AP1B1	0.964496
TOP1	RPS27	0.964458
IGJ	IGHA1	0.964244
AKR1B1	GLOD4	0.964158
MCM7	MCM6	0.963657
SRSF6	THRAP3	0.963567
UBA5	NSFL1C	0.963462
RUVBL1	PRPF8	0.963037
NFKB1	LRBA	0.962719
EIF3C	EIF3I	0.962638
HNRNPUL2	MATR3	0.961408
CSNK2A1	SART3	0.961359
AP2B1	AP2A2	0.961252
ARPC1B	ARPC4	0.960015
PSMD1	PSMD3	0.959697
DEK	FRG1	0.959672
RPL37A	RSL1D1	0.959538
VCL	PDCD6IP	0.95912
TXNRD1	DPP3	0.959055
PSMD4	PSMC5	0.958788
CCT6A	CCT3	0.958664
VDAC3	VDAC1	0.958255
MCM7	MCM4	0.957616
FGG	FGB	0.957613
ACTR2	ARPC2	0.957305
GBP1	GBP2	0.957241
FMNL1	XPO1	0.957015
ACTR2	ARPC1B	0.956951
ACTR2	ARPC3	0.956693
PSMD6	PSMC1	0.956524
PSMB6	PSMB2	0.956455
ILF3	ILF2	0.956227
GART	MSH2	0.955975
TIMM50	NUP160	0.955534
EIF3I	EIF3A	0.955374
OSTF1	ERP44	0.955342
CCT7	TCP1	0.954777
NMI	NFYC	0.954762
EIF3I	EIF3B	0.954343
CLUH	USP47	0.954287
HNRNPH2	HNRNPH1	0.95382
ABI1	CYFIP1	0.953706
DNAJC9	GRAP2	0.953683
CSNK2B	CSNK2A2	0.95356
PNPT1	LZTFL1	0.952416
EIF3F	EIF3B	0.951918
MTA2	SNRNP200	0.951824
GSR	PREP	0.951805
LARS2	HADH	0.951486
LMNB2	LMNB1	0.950616
ACTN1	HSP90B1	0.950299
PSMA2	PSMB7	0.950215
MUT	AARS	0.949491
DCTN1	ACTR1B	0.949288
EIF3E	EIF3F	0.948829
PSMB10	PSMA4	0.948477
MYO1G	VDAC2	0.94828
DNAJA2	RPL23	0.94719
COPS7B	COPS4	0.945865
PSMD14	PSMC2	0.945714
GALK1	SDCBP	0.945446
GADD45GIP1	MRPL39	0.944849
EIF3G	EML4	0.944147
EIF3D	EIF3I	0.943932
SLC25A11	SLC25A5	0.943853
RPS20	GZMB	0.943447
PSMA5	PSMA1	0.943347
RCC1	APEX1	0.943257
MRPL39	MRPL19	0.942268
TES	IDH2	0.941755
SFXN1	ATP5J2	0.941673
ARPC2	ARPC3	0.941307
UQCRC2	UQCRC1	0.940596
ARPC2	ACTR3	0.940513
EIF3M	EIF3I	0.940173
CCT8	NFKB2	0.939571
RPRD1B	PARVG	0.938672
CPA4	HAL	0.938532
THEMIS	NPEPPS	0.938373
GSTP1	CBFB	0.936592
C1orf123	PDP1	0.936357
RUVBL1	HADHB	0.935683
NUTF2	THEM4	0.934919
ELMO1	DOCK2	0.934547
UBE2V1	UBE2V2	0.934483
PSMB10	PSMA6	0.934249
EXOSC9	EXOSC2	0.934048
PTPRCAP	DHRS7	0.933796
XRCC6	XRCC5	0.933665
LSP1	ADD1	0.933041
TNFRSF4	CD5	0.932973
MRPS22	MRPS27	0.932864
HMGCS1	VPS35	0.931617
NFKB1	CCT3	0.931098
NOP16	RPL31	0.930708
GARS	STAT5A	0.930637
DARS	LARS	0.930399
PSMB6	PSMB7	0.929668
AGPAT5	YME1L1	0.929245
AGPAT5	AFG3L2	0.92864
RPRD1B	DHTKD1	0.928578
STAT5B	PIK3CD	0.928308
SFXN1	MYO1G	0.928219
OGDH	ATP5C1	0.92799
IPO7	SET	0.926658
RAD23B	ARPC1A	0.926554
CCT7	CCT3	0.926391
NOP58	PRPF19	0.926287
AGPAT5	NUP205	0.926007
TECR	RPN1	0.925509
COPB1	DIAPH1	0.924574
ARPC5L	ACTR3B	0.924338
GARS	VPS35	0.924312
PSMC1	PSMD11	0.924291
ARPC2	ARPC4	0.923974
PSMD6	PSMD8	0.923793
EXOSC9	EXOSC8	0.923065
MCM6	MCM2	0.922516
RPS8	RPS27A	0.920718
PSMC2	PSMD11	0.920123
ARL6IP5	CD3D	0.919727
MCM2	MCM4	0.919571
IRF2BP2	STIP1	0.918576
CETN2	FAM107B	0.918146
MUT	FH	0.916621
CLUH	CYFIP1	0.916621
MCM3	MCM7	0.916566
ZNF207	BUB3	0.916281
CYFIP2	ABI1	0.916262
LTA4H	OXCT1	0.914974
NFKB2	CAMK2D	0.91487
PRPF40A	RBM25	0.914271
NFKB2	CCT4	0.913352
PPP2R5D	ARPC1A	0.910843
CSDE1	STAT5A	0.910495
ACADM	ARPC1A	0.910363
